"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"42","all_products","gblock+IRE_plus18IRE","10","23.12","17.66"
"43","all_products","gblock_minusIRE_onlyExonnoIRE","10","22.19","16.829999999999998"
"44","all_products","gblock_minusIRE_onlyExonnoIRE","10","22.32","16.82"
"45","all_products","gblock_minusIRE_onlyExonnoIRE","10","22.07","16.52"
"46","test1","gblock+IRE_plus18IRE","0.05","29.22","24.9"
"47","test1","gblock+IRE_plus18IRE","0.05","29.17","24.87"
"48","test1","gblock+IRE_plus18IRE","0.05","29.22","24.93"
"49","all_products","gblock+IRE_plus18IRE","0.05","30.88","26.56"
"50","all_products","gblock+IRE_plus18IRE","0.05","30.91","26.55"
"51","all_products","gblock+IRE_plus18IRE","0.05","30.87","26.61"
"52","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","29.35","24.92"
"53","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","29.32","24.76"
"54","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","29.46","25"
"55","test1","gblock+IRE_plus18IRE","5","22.64","17.899999999999999"
"56","test1","gblock+IRE_plus18IRE","5","22.8","17.93"
"57","test1","gblock+IRE_plus18IRE","5","22.67","17.82"
"58","all_products","gblock+IRE_plus18IRE","5","24.17","19.079999999999998"
"59","all_products","gblock+IRE_plus18IRE","5","24.17","19.03"
"60","all_products","gblock+IRE_plus18IRE","5","24.21","18.989999999999998"
"61","all_products","gblock_minusIRE_onlyExonnoIRE","5","22.99","17.75"
"62","all_products","gblock_minusIRE_onlyExonnoIRE","5","23.04","17.72"
"63","all_products","gblock_minusIRE_onlyExonnoIRE","5","22.93","17.55"
"64","test1","gblock+IRE_plus18IRE","0.01","31.32","27.27"
"65","test1","gblock+IRE_plus18IRE","0.01","31.23","27.3"
"66","test1","gblock+IRE_plus18IRE","0.01","31.27","27.29"
"67","all_products","gblock+IRE_plus18IRE","0.01","32.840000000000003","29.01"
"68","all_products","gblock+IRE_plus18IRE","0.01","32.950000000000003","29.04"
"69","all_products","gblock+IRE_plus18IRE","0.01","32.880000000000003","29.08"
"70","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","31.47","27.47"
"71","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","31.45","27.37"
"72","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","31.59","27.53"
"73","test1","gblock+IRE_plus18IRE","1","25.3","20.75"
"74","test1","gblock+IRE_plus18IRE","1","25.42","20.81"
"75","test1","gblock+IRE_plus18IRE","1","25.41","20.79"
"76","all_products","gblock+IRE_plus18IRE","1","26.93","22.11"
"77","all_products","gblock+IRE_plus18IRE","1","27.07","22.14"
"78","all_products","gblock+IRE_plus18IRE","1","27.05","22.12"
"79","all_products","gblock_minusIRE_onlyExonnoIRE","1","25.29","20.3"
"80","all_products","gblock_minusIRE_onlyExonnoIRE","1","25.39","20.43"
"81","all_products","gblock_minusIRE_onlyExonnoIRE","1","25.3","20.2"
