,chr.type,chr,loc.name,pos,mQTL.lod,mQTL.asymp.p,vQTL.lod,vQTL.asymp.p,mvQTL.lod,mvQTL.asymp.p,m__est__(Intercept),m__est__BreedTypeInbred,m__est__mean.QTL.add,m__est__mean.QTL.dom,m__est__BreedTypeInbred:mean.QTL.add,m__est__BreedTypeInbred:mean.QTL.dom,m__se__(Intercept),m__se__BreedTypeInbred,m__se__mean.QTL.add,m__se__mean.QTL.dom,m__se__BreedTypeInbred:mean.QTL.add,m__se__BreedTypeInbred:mean.QTL.dom,v__est__(Intercept),v__est__BreedTypeInbred,v__est__var.QTL.add,v__est__var.QTL.dom,v__est__BreedTypeInbred:var.QTL.add,v__est__BreedTypeInbred:var.QTL.dom,v__se__(Intercept),v__se__BreedTypeInbred,v__se__var.QTL.add,v__se__var.QTL.dom,v__se__BreedTypeInbred:var.QTL.add,v__se__BreedTypeInbred:var.QTL.dom
15,A,1,AY110314,29.42,0,1,0,1,0,1,11.78414222,2.264021586,-0.418838755,234.0285811,-0.121955266,-447.8233931,0.767997723,0.948915552,0.515034592,221.3411444,0.632049061,274.8113578,2.207059214,0.206318771,0.407395198,-19.28463257,-0.467519516,111.2867478,0.674441988,0.80455146,0.392335581,140.0570272,0.492370498,159.0422564
16,A,1,umc94a,38.62,-9.87E-14,1,9.87E-14,1,-9.87E-14,1,10.23841091,3.258847631,0.622378664,15333.00083,-1.156954763,-15158.41031,0.969214815,1.090288076,0.541858972,7223.671565,0.672566863,7224.379048,3.194296977,-0.837860338,-0.213783882,-8682.982714,0.445475608,8678.935127,0.594804719,0.725153263,0.356729531,8076.817285,0.460559942,8077.168495
17,A,1,gpm331,38.71,4.94E-14,1,9.87E-14,1,1.48E-13,1,10.7999589,2.697481738,0.390525343,4.796914572,-0.694701953,31.27558273,1.190667155,1.313884885,0.668673888,76.07594124,0.790118702,84.05977271,3.254890471,-0.776040344,-0.261834367,-78.71345823,0.491308345,-34.10719419,0.682905714,0.82924228,0.409776496,76.55045238,0.520091248,103.7797346
18,A,1,lim179,47.02,-4.94E-14,1,9.87E-14,1,4.94E-14,1,11.32973346,2.486504367,-0.025361421,58.214038,-0.526763751,-234.861985,1.093773599,1.20571393,0.600955025,137.8865311,0.727237241,210.9148498,3.273585848,-0.905721604,-0.260880996,-87.53273833,0.490104108,108.592953,0.631088771,0.763622737,0.376055006,120.287012,0.484240195,169.2137187
19,A,1,IDP755,52.47,-1.48E-13,1,-9.87E-14,1,0,1,10.91249724,2.949238308,0.26541051,428.5466385,-0.784595822,-459.5230185,0.975712921,1.086258224,0.52584887,381.7257598,0.657086497,381.7480634,3.391582322,-1.058097457,-0.395206755,-735.4284664,0.636149455,724.4030496,0.579970779,0.714659079,0.364152128,504.0375003,0.471913994,504.1029998
20,A,1,AY107629,54.63,-3.46E-13,1,1.43E-12,1,6.42E-13,1,12.66678426,0.708411811,-0.543646423,-13723.15929,0.266948744,13724.69469,0.680449022,0.857014578,0.446303882,3798.975651,0.604581787,3798.977048,2.226123372,0.281804153,0.16349648,1664.294677,-0.010103488,-1665.353563,0.64938573,0.780353144,0.400522765,2246.940059,0.507147793,2246.942254
21,A,1,mmp49,56.12,0,1,-9.87E-14,1,-4.94E-14,1,10.61899686,3.334178677,0.483048698,308.3621562,-0.793938646,-4028.870056,1.238312675,1.333554181,0.683572535,461.2290758,0.784328198,1187.875782,3.365607543,-1.111680523,-0.406512818,-201.3422913,0.720494957,51.62610459,0.704043171,0.853927557,0.428633312,351.1113398,0.533905899,1143.580679
22,A,1,cdo1081a,57.82,-9.87E-14,1,-4.94E-14,1,-4.94E-14,1,9.169605431,4.204964354,1.233432299,322.8498104,-1.55226072,-69.86102006,1.448075245,1.538909721,0.765003168,148.0616567,0.883270577,490.5851634,3.541035573,-1.033140437,-0.506475964,-88.40007063,0.686667026,-80.73420918,0.782544423,0.902609426,0.452346227,116.3593068,0.566910096,411.5663783
23,A,1,asg31,65.22,4.94E-14,1,0,1,0,1,10.65584729,2.894736744,0.482604514,36.36895513,-0.969038866,-7949.013182,1.290231316,1.391700414,0.701139736,162.8709346,0.808530199,68811.24758,3.415980662,-0.872286317,-0.440849534,-71.03668578,0.635029834,-146239.6879,0.716146946,0.850915615,0.429719576,128.8960002,0.542097509,104063.6002
24,A,1,npi415,66.02,9.87E-14,1,1.48E-13,1,1.97E-13,1,10.75484411,2.519774967,0.469213138,-3.014245045,-0.92154124,3163.433124,1.108641035,1.201128463,0.628283028,5.610535816,0.743869762,1230.919498,3.312120764,-0.938466117,-0.359294303,-5.216395771,0.62718059,-568.5243269,0.601364223,0.721772657,0.377482282,6.828414662,0.481001462,1189.374365
25,A,1,ufg31,71.62,-9.87E-14,1,-9.87E-14,1,-9.87E-14,1,10.75218464,2.896880604,0.372858847,5846.949454,-1.022461412,-5932.143908,0.958047797,1.06354295,0.545856854,4122.368019,0.708968318,4450.991507,3.170486707,-0.693102698,-0.261749564,-2415.833679,0.462787674,2068.719826,0.555173204,0.66363995,0.349929934,3699.500493,0.467744793,3907.810249
26,A,1,gpm330,71.91,0,1,1.48E-13,1,1.48E-13,1,10.75112193,2.897620001,0.472463455,21498.43091,-1.103096479,-22131.75924,1.114652553,1.206518014,0.631911152,193117.3797,0.772625775,193141.9478,3.312071912,-0.83496652,-0.360432656,-213733.6615,0.554289734,213235.3154,0.595474871,0.702517495,0.374576954,188900.0128,0.489154348,188914.5909
27,A,1,ufg33,72.02,-2.32E-12,1,-1.28E-11,1,-5.58E-12,1,10.78053458,2.868234153,0.364931873,102981.2087,-0.989210292,-102984.8462,0.954808548,1.060610146,0.546432089,82503.41866,0.698809036,82503.41917,3.17131183,-0.694210738,-0.264115464,-42939.36094,0.452031596,42938.23729,0.578215982,0.691996596,0.365038418,76399.63145,0.482584811,76399.63178
28,A,1,ufg32,72.82,0,1,1.48E-13,1,1.48E-13,1,10.31295546,3.521846105,0.671912498,3804.039309,-1.389311662,-6406.538383,1.023604563,1.143883307,0.58571116,2643.225948,0.738036849,2946.788465,3.162110842,-0.601153762,-0.267097853,-826.4329571,0.413170555,-308.4219848,0.63158307,0.761069346,0.394913159,2106.169087,0.520704331,2573.535472
29,A,1,ufg34,74.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,A,1,AY108650,77.57,0,1,4.94E-14,1,4.94E-14,1,11.45760925,2.231687615,0.085723551,-711.7557662,-0.217885271,-761.7556861,0.908259259,1.000271473,0.534349373,1088.20775,0.65554895,1289.396329,2.640011463,-0.416153431,-0.061358855,567.5096881,0.190884262,-149.4718243,0.649968635,0.750082967,0.38406431,540.7836067,0.487464265,653.2841688
31,A,1,gpm495,80.45,1.48E-13,1,2.47E-13,1,2.47E-13,1,10.73854771,2.561275403,0.478408352,15134.96196,-0.659873636,-14750.3111,1.110074204,1.194988505,0.629547435,142097.8055,0.721113192,142124.1051,3.30600785,-0.990862295,-0.356658478,-155904.23,0.223205368,158330.1947,0.547793303,0.648345893,0.344964943,128168.3972,0.456883883,128174.3516
32,A,1,gpm83b,80.75,0,1,0,1,0,1,10.69890863,2.441585059,0.480316367,13151.65318,-0.635387183,-10365.85442,1.057534806,1.144438904,0.54512587,65644.1924,0.650925708,65791.45568,3.295332106,-1.000060237,-0.264568182,-52051.26504,0.15085904,55978.92234,0.597434383,0.702502973,0.353392309,52002.28385,0.472996858,52045.36857
33,A,1,gpm767,80.94,0,1,4.94E-14,1,4.94E-14,1,10.73973814,2.614693489,0.477789786,8386.225562,-0.681248164,-8588.072334,1.109993067,1.197441098,0.629952403,83925.28101,0.725645355,84509.32709,3.305815048,-0.895582224,-0.357391714,-92588.82653,0.177433982,100747.731,0.554947641,0.655702562,0.349641298,77098.98792,0.469905483,77227.89192
34,A,1,bnlg1014,81.12,4.94E-14,1,-4.94E-14,1,0,1,10.68238806,3.002576201,0.507667818,483.6885766,-0.939089747,-67774.54061,1.081827778,1.166253012,0.616938989,1980.078179,0.748092741,59693.98964,3.25377562,-1.114240837,-0.330048308,-728.8455918,0.725795667,35012.48915,0.589928957,0.719527224,0.371407652,1462.376494,0.484038281,38161.89554
35,A,1,umc1363a,82.02,4.94E-14,1,0,1,0,1,10.80054253,2.244368366,0.44747744,-381.2553512,-0.382850726,1420.894508,1.106787804,1.20618218,0.628534421,2808.49858,0.75488604,4955.679381,3.257329972,-0.923629443,-0.333205974,-741.0892754,0.644783724,905.0541007,0.590826922,0.714860464,0.368921049,1874.988508,0.468742968,3760.522054
36,A,1,gst12,83.52,-4.94E-14,1,4.94E-14,1,0,1,10.69699418,2.274812242,0.49914893,169.8195516,-0.361653099,2394.443871,1.083014979,1.168069946,0.618115273,773.293005,0.763307772,2631.222641,3.257004775,-0.910479325,-0.333022078,-295.0593166,0.700502338,-13221.07494,0.695051709,0.827749195,0.438175334,678.1430265,0.564762041,5333.477481
37,A,1,umc1269,84.62,0,1,1.48E-13,1,1.48E-13,1,10.69698385,2.420887902,0.499154369,212.3776603,-0.4281571,-4259.300394,1.083017784,1.179912948,0.618114275,964.9194157,0.751722255,4216.074394,3.257010985,-0.880688578,-0.333025232,-368.4370115,0.636506216,-4982.803025,0.609653805,0.734386392,0.384337796,742.1285685,0.492997417,6320.27288
38,A,1,umc2012,85.72,-4.94E-14,1,-4.94E-14,1,-4.94E-14,1,10.76430706,2.617187389,0.427466879,1875.801547,-0.088473706,-14235.0855,0.958858068,1.040470216,0.581882062,2237.342323,0.703202159,3149.451212,3.174150393,-1.057915435,-0.244523855,-6043.660096,0.722638815,3717.402242,0.597536578,0.735952458,0.397631384,4143.068655,0.512403491,5064.218416
39,A,1,umc1977,87.52,-9.87E-14,1,3.31E-12,1,2.67E-12,1,10.64611839,3.068690566,0.427479888,4724859.591,-1.231627789,-4735148.837,0.969247618,1.058066696,0.581909834,5645407.096,0.694960947,5645413.278,3.555141804,-1.251935926,-0.244495683,-15236010.18,0.670001292,15216251,0.582036795,0.694971881,0.354849525,9324441.857,0.45811177,9324449.035
40,A,1,IDP553,88.91,-9.87E-14,1,0,1,-4.94E-14,1,10.76431555,2.837195062,0.427481594,2389.863572,-0.466346566,-23127.20846,0.958905063,1.034921381,0.58191363,2854.753497,0.720719494,7159.350793,3.173981051,-1.130023237,-0.244491998,-7705.251071,0.747521272,8001.559799,0.586602474,0.718291187,0.39036901,5187.443298,0.506477111,7019.650721
41,A,1,IDP4043,89.33,0,1,0,1,0,1,10.76568925,2.636045394,0.425922778,2960.927902,-0.543434811,-13831.06809,0.953079973,1.04199421,0.577765396,3503.838273,0.734002572,6505.602031,3.185979373,-0.958090403,-0.248955924,-9624.994401,0.682078028,5746.429395,0.590250244,0.722309272,0.391099571,6425.806818,0.515856365,8512.557687
42,A,1,php20603,90.02,0,1,4.94E-14,1,4.94E-14,1,9.881176962,3.555815283,0.908452846,4377.806374,-1.004284849,-7468.00208,1.743996551,1.797688258,0.927365523,3994.092331,1.023899501,4784.884357,3.854588393,-1.617014577,-0.636665843,-4095.264937,1.09340716,2821.949888,0.873303178,0.957660663,0.49428032,2807.906474,0.576666943,3589.835569
43,A,1,sgb101,90.74,4.94E-14,1,4.94E-14,1,4.94E-14,1,11.52632189,2.732138584,-0.514265798,2383.581715,-0.010396758,-6770.261729,0.786237402,0.917873579,0.468822192,1639.976027,0.626139361,2655.415456,3.015374902,-0.863021111,0.228012627,-3205.937592,0.301852959,1827.293476,0.77207673,0.908882724,0.404779477,1976.422242,0.516820425,2746.711043
44,A,1,IDP1437,91.9,4.94E-14,1,9.87E-14,1,9.87E-14,1,11.46138784,2.450074799,-0.143638611,458.0017946,-0.439577326,-1340.461319,0.900351489,1.013998811,0.569475501,350.274024,0.692179087,773.2991882,2.585347033,-0.475997807,0.233360652,-1065.719945,0.170067104,855.2523876,0.748732531,0.895304241,0.440032407,621.6112266,0.552495861,879.3719628
45,A,1,IDP847,93.03,4.94E-14,1,4.94E-14,1,4.94E-14,1,11.46138384,2.178602095,-0.147716752,358.2421367,-0.197694986,-1088.83382,0.900358686,1.015062199,0.568832925,273.4479985,0.688453292,584.4280625,2.585340452,-0.372733725,0.228477442,-824.0750442,0.123730407,651.7627821,0.762851902,0.901729725,0.447713204,492.4534921,0.554736177,689.7908033
46,A,1,gpm125,96.14,0,1,4.94E-14,1,0,1,11.37564193,2.112953626,0.176758884,-5871.243164,-0.432950007,5397.985491,0.98924901,1.094131376,0.561890814,4969.976363,0.665581322,5734.638519,2.607133264,-0.484374398,-0.004501374,2184.254868,0.2298762,-362.7002723,0.690391923,0.808748435,0.387961489,1937.901273,0.478996007,2380.694645
47,A,1,lls1,97.12,-4.94E-14,1,-4.94E-14,1,-4.94E-14,1,11.46138641,2.076246525,-0.103632226,199.6649016,-0.288149761,1256.85349,0.900358992,1.033739179,0.563793566,4575.000462,0.687794946,5190.145235,2.585313485,-0.314818976,0.193095476,-70.20587343,0.121485686,-2063.968444,0.753968095,0.903518748,0.443871713,3204.401046,0.552667239,4836.524115
48,A,1,php20689,99.42,4.94E-14,1,9.87E-14,1,9.87E-14,1,11.74701526,1.847005592,0.091329537,-1482.576695,0.051527186,-308.1700302,0.96626263,1.06231527,0.531975719,1152.891773,0.657395347,1195.379995,2.607051665,-0.445927313,0.244816272,-371.7800369,0.199203559,-296.2110046,0.806115255,0.936334137,0.438234649,885.5431912,0.548962965,998.9736512
49,A,1,umc1685,101.32,1.48E-13,1,4.94E-14,1,9.87E-14,1,11.46127947,2.140817312,-0.164740037,8.073695491,-0.063880392,-1149.213693,0.900406491,1.015756777,0.55339001,9.602793307,0.675614689,197.5613858,2.585330652,-0.368249569,0.172763567,1.104240322,0.152661891,-560.74552,0.747391606,0.882852438,0.436068208,5.693241908,0.542855578,362.3414768
50,A,1,gpm557b,106.62,9.87E-14,1,-4.44E-13,1,-5.43E-13,1,12.02280663,1.772457826,-0.504200398,894083.3738,-0.263270357,-890996.6856,1.069182093,1.185699594,0.593058102,8229840.152,0.701197807,8229840.265,2.849361515,-0.640936418,0.03291091,-998792.9897,0.214614887,998968.8495,0.760861454,0.908765738,0.421137374,6133131.299,0.530580759,6133131.368
51,A,1,umc1160,106.63,9.87E-13,1,-8.39E-13,1,2.96E-13,1,12.02902624,1.77239923,-0.308872353,-2339428.093,-0.463394888,2342688.622,0.976025862,1.101972785,0.554973899,3553024.726,0.669287347,3553025.003,2.803290306,-0.598239972,-0.188674441,1739323.092,0.438794339,-1739157.343,0.691482149,0.846888292,0.412833004,1432482.837,0.52091803,1432483.145
52,A,1,gpm584,107.6,-1.48E-13,1,9.87E-14,1,1.48E-13,1,10.69307513,3.37727577,0.339485804,8.585578781,-1.351820022,578.37159,1.223593406,1.316915599,0.666681834,3.870830169,0.766370859,396.0544261,3.410117611,-1.153123372,-0.490487455,-2.405985737,0.718362871,68.85848319,0.639305798,0.78264994,0.391491018,3.826244751,0.49999136,241.5638963
53,A,1,gpm346b,108.13,4.94E-14,1,0,1,0,1,10.67836204,3.698421333,0.346675506,149896.2584,-1.174807388,-160623.5977,1.226590413,1.312237163,0.668012136,70903.98324,0.752139033,71193.07204,3.41229701,-1.317107986,-0.491518748,-52476.99201,0.670092295,56457.37186,0.674041636,0.825881579,0.412081091,68036.42653,0.525023433,68122.18316
54,A,1,gpm33e,108.55,-4.94E-14,1,0,1,4.94E-14,1,10.91241528,3.085561265,0.229755135,40053.88147,-1.010722201,-38428.95196,1.26228136,1.353178462,0.684446336,27959.19985,0.768635133,28887.58232,3.47239547,-1.2850128,-0.52157197,-36315.42725,0.627469923,41414.3602,0.628047326,0.770741422,0.384578759,29548.74934,0.487356571,29768.60351
55,A,1,umc2224,109.23,1.97E-13,1,9.87E-14,1,9.87E-14,1,11.21720099,2.877497241,0.067218055,2424.029434,-0.829131067,-2748.081606,1.125280391,1.245513778,0.625384755,11329.7328,0.738426726,11339.40604,3.377932784,-0.963878623,-0.464227498,-3213.932728,0.72161636,888.0632333,0.579491687,0.73605419,0.365777189,11980.75158,0.471432771,12039.01611
56,A,1,gpm556,110.49,-2.96E-13,1,-9.87E-13,1,-5.92E-13,1,10.96894877,3.087306408,0.199859771,73789.60217,-1.017697846,-73952.96386,1.295734192,1.396703641,0.699318965,49121.54689,0.801881576,49121.9522,3.520557678,-1.167777022,-0.545499161,-63054.46495,0.798607925,61564.36894,0.690553019,0.841990168,0.417035906,54153.80573,0.525727939,54157.58599
57,A,1,npi579b,110.53,4.94E-14,1,2.96E-13,1,0,1,11.70433033,2.254086578,-0.16452621,-15245.25744,-0.780240195,15516.81827,1.065654851,1.171643732,0.587662868,40657.67018,0.698239235,40657.80791,3.109153636,-0.823639438,-0.362668692,14868.93943,0.598217825,-14893.11416,0.611946614,0.747591249,0.363524639,24197.9937,0.467373437,24198.15661
58,A,1,IDP3917,115.28,9.87E-14,1,4.94E-14,1,4.94E-14,1,10.20367097,3.088968364,0.613477673,2921.015027,-0.84895847,-2348.449806,1.395484868,1.522983654,0.726736367,1215.058706,0.820274192,2049.55032,3.541572043,-0.639118733,-0.570353413,-1087.283991,0.184609834,1134.151385,0.721663738,0.840670117,0.422538638,1166.665466,0.531345494,1647.889575
59,A,1,gpm199c,115.57,0,1,-4.94E-14,1,-4.94E-14,1,10.09843783,3.265292475,0.667524927,3753.672585,-0.94433572,-3130.539827,1.428866089,1.544772483,0.756494829,2103.744057,0.843410052,4211.273565,3.573119544,-0.79105757,-0.589264178,-351.2272972,0.19116682,2439.871178,0.64949833,0.756557312,0.383134674,1921.975375,0.482875502,2653.162527
60,A,1,IDP1425,118.03,-1.48E-13,1,-1.48E-13,1,-1.48E-13,1,10.25510932,3.546222764,0.698817974,370.4235232,-1.230760456,-1119.589464,1.387597862,1.526654329,0.744527482,418.0904589,0.843434989,804.5790977,3.507654264,-0.609476304,-0.496408825,-1159.99958,0.200347265,1062.44621,0.761422527,0.899144453,0.451926873,881.4215067,0.563919751,1108.591948
61,A,1,mmp68,121.93,-1.09E-11,1,-1.68E-12,1,-1.39E-11,1,10.35212558,3.181196917,0.871114713,-4091785.994,-1.56235849,4092225.936,1.380101453,1.480791959,0.734391355,1731595.494,0.82668735,1731595.559,3.608054919,-0.870043814,-0.526706647,-2103405.979,0.32704717,2103430.102,0.70897821,0.812148865,0.409909396,2647744.214,0.515042657,2647744.241
62,A,1,umc2225,123.03,-4.94E-14,1,0,1,0,1,10.1809812,3.404162814,0.863559429,-725.0811597,-1.584428081,1102.59548,1.37700766,1.479904471,0.734197426,311.574664,0.826631367,574.1960484,3.517027534,-0.754173876,-0.528755608,-360.5806698,0.331540648,297.5133417,0.715478128,0.824889162,0.421660767,482.3616146,0.529825754,645.750947
63,A,1,csu1171,125.63,-4.94E-14,1,-1.97E-13,1,-2.47E-13,1,10.37041502,3.503521632,0.77668067,-243.0330203,-1.574461773,-1040.402599,1.413333202,1.519760689,0.745975998,123.8823129,0.841413767,470.981637,3.623257888,-0.819906619,-0.583772621,-98.18430785,0.342855042,-657.7549518,0.6857584,0.78612478,0.394692335,153.3307603,0.498382324,665.9660523
64,A,1,mmp171b,130.13,-9.87E-14,1,4.94E-14,1,4.94E-14,1,10.25527244,3.766805866,0.82741702,-165.4058331,-1.621275159,37.87422723,1.387592475,1.546362599,0.741662377,72.99767016,0.842622962,233.2920844,3.507560209,-0.572614114,-0.520637992,-83.1145504,0.166770339,53.56320083,0.652110651,0.780749062,0.38735397,103.0072179,0.483318063,189.1688295
65,A,1,gpm403b,131.93,-4.94E-14,1,-4.94E-14,1,0,1,10.25707087,3.766304263,0.809099141,-162.0769308,-1.465328388,-274.5401245,1.387517717,1.522239308,0.74045388,72.09626684,0.834395602,462.8389118,3.507829948,-0.90522249,-0.527875049,-82.36834317,0.38415744,288.6553881,0.540912504,0.659916529,0.3199807,85.09285552,0.403907956,144.4315335
66,A,1,umc1568,140.13,0,1,0,1,-4.94E-14,1,9.465989447,4.355972352,1.290467211,-78173.90356,-2.083817015,291659.5315,1.696910596,1.825155332,0.883989034,27302.26765,0.970887901,67342.86278,3.658734474,-0.72962483,-0.616208162,-45719.48005,0.246220859,16246.70202,0.843493695,0.97114897,0.480860723,48229.46023,0.583967127,95952.86415
67,A,1,IDP3783,140.14,0,1,0,1,4.94E-14,1,9.46587062,4.470961057,1.13342069,167928.5795,-1.767883594,-533396.6903,1.696908985,1.826623713,0.886135843,221817.9318,0.972279256,421172.0788,3.658806023,-0.725501226,-0.582990555,-631704.0174,0.269516872,556066.6757,0.832701773,0.962538141,0.474305357,462924.8124,0.572862093,579373.6626
68,A,1,bnlg1429,141.83,1.88E-11,1,-6.71E-12,1,1.08E-11,1,10.29079063,3.536078651,1.408509128,-19764188.24,-2.202500889,19769271.12,1.717414648,1.844252305,0.885896443,6339816.353,0.972580324,6339816.522,5.848226775,-2.9195911,-0.508359586,-52462076.42,0.13722081,52461387.11,1.140389904,1.230535441,0.464497229,19228697.92,0.563077153,19228698.01
69,A,1,IDP209,144.3,0,1,4.94E-14,1,9.87E-14,1,9.461308957,4.666828368,1.215298301,-334.6371565,-1.660923659,-7257.217738,1.696907973,1.83003484,0.894815608,1718.200651,0.979335426,2615.723666,3.658793798,-0.685795785,-0.532117673,-4243.489568,0.088392515,3702.376066,0.753262998,0.869488056,0.435431004,2378.111628,0.526559473,3065.189984
